,use
2016-06-05 21:13:58,7.884616667
2016-06-05 21:15:58,1.631666667
2016-06-07 14:25:58,5.6294
2016-06-07 14:26:58,0.444116667
2016-06-07 15:57:58,3.6217
2016-06-07 21:45:58,3.887866667
2016-06-07 21:47:58,0.797916667
2016-06-07 22:11:58,1.001333333
2016-06-08 13:01:58,5.369583333
2016-06-08 13:37:58,4.031933333
2016-06-08 13:43:58,0.335933333
2016-06-08 14:22:58,6.15175
2016-06-08 14:23:58,2.27015
2016-06-08 14:31:58,5.308866667
2016-06-08 14:33:58,0.660716667
2016-06-08 14:36:58,5.691016667
2016-06-08 14:37:58,0.6691
2016-06-08 14:49:58,4.9387
2016-06-08 14:50:58,0.90005
2016-06-08 20:11:58,3.1764
2016-06-08 20:37:58,5.005733333
2016-06-08 21:55:58,3.59525
2016-06-08 21:57:58,2.046883333
2016-06-13 21:22:58,4.854883333
2016-06-14 14:29:58,0.193266667
2016-06-14 14:46:58,5.767466667
2016-06-14 14:47:58,0.2105
2016-06-17 13:03:58,3.2935
2016-06-17 16:52:58,3.412566667
2016-06-17 16:54:58,0.70105
2016-06-17 17:00:58,5.91425
2016-06-17 17:01:58,0.701216667
2016-06-17 17:28:58,4.481666667
2016-06-17 18:17:58,3.5126
2016-06-17 18:19:58,0.535266667
2016-06-17 18:26:58,5.271866667
2016-06-17 18:27:58,0.859266667
2016-06-17 18:33:58,5.0361
2016-06-17 18:34:58,0.853883333
2016-06-17 18:50:58,3.19405
2016-06-17 18:52:58,0.3476
2016-06-17 18:56:58,4.065083333
2016-06-17 18:58:58,0.303883333
2016-06-17 19:46:58,5.768033333
2016-06-17 19:47:58,1.120133333
2016-06-17 19:55:58,0.80825
2016-06-17 20:28:58,4.75705
2016-06-17 20:29:58,1.315283333
2016-06-17 21:00:58,5.591216667
2016-06-17 21:01:58,0.7595
2016-06-17 21:08:58,4.95545
2016-06-17 21:09:58,0.933283333
2016-06-18 13:23:58,5.712566667
2016-06-18 13:24:58,0.503966667
2016-06-18 13:46:58,5.55615
2016-06-18 13:47:58,0.294566667
2016-06-18 14:25:58,5.114883333
2016-06-18 14:26:58,0.512
2016-06-18 16:17:58,5.366933333
2016-06-18 16:18:58,0.354466667
2016-06-18 18:43:58,6.0214
2016-06-18 18:44:58,1.241966667
2016-06-18 19:38:58,5.341883333
2016-06-18 19:39:58,0.412083333
2016-06-18 20:40:58,4.483916667
2016-06-19 18:17:58,4.343766667
